Glia and neuronal cell	Oligodendrocyte	B cell	Pericyte	Endothelial cell	T cell	Myeloid cell
13380x7100	0.212255749632208	0.0274707209462743	0.0150236829391402	0.263935190613776	0.378992461250085	0.000240969136944632	0.102081225481572
13760x7100	0.221627362477028	0.0266030203975739	0.0153138782505887	0.248641709372615	0.379206104206614	0.000256691069637341	0.108351234225943
14140x7100	0.254538310168828	0.029337428868945	0.011507433215826	0.212000514826791	0.389988620500686	0.000472068686295698	0.102155623732628
14520x7100	0.261498071092211	0.0324185742990654	0.0104311284820593	0.182633052709792	0.40703300591551	0.000558967788673467	0.105427199712689
14900x7100	0.230950364221824	0.0269473760541289	0.0127184093211088	0.185844264756401	0.419967655915221	0.000170290910619364	0.123401638820696
15280x7100	0.251043895145061	0.023590663434612	0.014921106664377	0.164438518635845	0.414026215633514	8.50801372470297e-05	0.131894520349344
15660x7100	0.254977799560322	0.023744425227496	0.0160279999729935	0.185094230327468	0.390589658636358	5.97189472584446e-05	0.129506167328104
16040x7100	0.268740058552569	0.0255773720254618	0.0106279601167048	0.20167819429584	0.393268591778883	4.34134636811821e-05	0.10006440976686
16420x7100	0.283973587328439	0.0273380366233005	0.00895682144388528	0.213190974465073	0.37919886922038	3.91148803436533e-05	0.0873025960385784
16800x7100	0.258698176322008	0.027894373771455	0.00759104556811841	0.253869736213301	0.379771355681687	3.65206873907873e-05	0.0721387917560391
17180x7100	0.164516721317033	0.0198245664275825	0.00440562796351715	0.315224953268434	0.441581911968385	2.72713758393157e-05	0.054418947679209
17560x7100	0.138830455188736	0.0145806677663059	0.00454788232961026	0.33354775183068	0.44260531927064	1.99835402638096e-05	0.0658679400737644
17940x7100	0.192901665750374	0.0197296258392502	0.00892490807205271	0.284971382559667	0.401215550444588	4.08540856690284e-05	0.0922160132483986
18320x7100	0.232997786055265	0.024076576786161	0.0098874716747387	0.267273084329704	0.368880928668456	7.09125178708197e-05	0.0968132399678053
10720x7480	0.212175352213577	0.0185119860066097	0.00981674482120052	0.293197463419906	0.350610784545885	0.000275837806811884	0.11541183118601
11100x7480	0.204288928542645	0.0198220698530434	0.0100334916843667	0.266997328420649	0.362888083409147	0.000276315889273394	0.135693782200876
11480x7480	0.199982386533176	0.0209331936561225	0.00640250069635047	0.252133236838702	0.385727136635642	0.000326938546927189	0.134494607093081
11860x7480	0.18944682293555	0.0221245309872599	0.00679242197879971	0.249706435958352	0.408999487516536	0.000338575679594616	0.122591724943908
12240x7480	0.194451278921377	0.0251926716532409	0.00887771803328281	0.248577552020891	0.392843091975346	0.00033334764227189	0.12972433975359
12620x7480	0.205956603738665	0.026437577416816	0.0107762509024372	0.243365909501298	0.374736791536552	0.000325498797923676	0.138401368106308
