Glia and neuronal cell	Oligodendrocyte	B cell	Pericyte	Endothelial cell	T cell	Myeloid cell
1764x461	0.477630382839521	0.0216976246287862	0.0582155890987139	0.176553571399525	0.201330454946585	0.00186570039926963	0.0627066766875992
1797x461	0.4661485666463	0.0237262447922603	0.0608644502313183	0.161691142521792	0.227127828137653	0.00248842689343778	0.057953340777239
1830x461	0.526459324598931	0.0257868964519024	0.0680663024019792	0.113508160326314	0.207689641189231	0.00309353958074864	0.055396135450893
1863x461	0.533816832337196	0.0239994500314197	0.0757027134942984	0.108531835874435	0.184165379763439	0.00188553744764946	0.071898251051562
1896x461	0.516523358478006	0.0195505339710174	0.0813936216305953	0.137339400112583	0.169440383201395	0.00157039020128803	0.0741823124051153
1929x461	0.484326373090342	0.0180100434371323	0.0890518582278286	0.159241611052914	0.176852674730867	0.00114938589621098	0.0713680535647043
1236x494	0.0752960036760667	0.00703284792727254	0.0224618826482353	0.446506986724156	0.42401862551896	0.00164237747508425	0.0230412760302253
1269x494	0.0783416243764383	0.00490480770452284	0.022648135427799	0.417918028085896	0.447318080781695	0.00149713328201599	0.0273721903416327
1302x494	0.0969630223146148	0.00577304896059037	0.0271276419673146	0.38069264442102	0.453076781111133	0.00192397996834148	0.0344428812569859
1335x494	0.109632852641354	0.00791765472889795	0.0292003024522499	0.390849751260131	0.429378844915814	0.00210510421388669	0.0309154897876666
1368x494	0.138782331379566	0.00960803673748738	0.0330150626070791	0.388985987892482	0.390834342867123	0.00225850207812145	0.0365157364381406
1401x494	0.18646228020455	0.0115794557050657	0.0391385277323446	0.366092829528826	0.352681819449206	0.00265574472169654	0.0413893426583116
1434x494	0.231805797346867	0.0132960750420966	0.0427752795895964	0.3447939406343	0.31854495272997	0.00272743986275101	0.046056514794419
1467x494	0.263430688750696	0.0143810422640016	0.0444518336144521	0.329745589398665	0.2960800633757	0.00265107093262828	0.0492597116638569
1500x494	0.291057585535871	0.0148048743817671	0.0451034290693428	0.322268631054201	0.271408609021133	0.002394916877181	0.0529619540605043
1533x494	0.336710538339777	0.0144494756392172	0.0406628902145664	0.326995578443758	0.224000099976458	0.00180220552062463	0.0553792118655989
1566x494	0.41684355551076	0.0184001471133532	0.0485928913360515	0.272577777630838	0.17687554458614	0.00133768500916118	0.0653723988136963
1599x494	0.443886541870857	0.021956997797461	0.0523659031880447	0.237489848104756	0.17716678317281	0.00133366751573833	0.065800258350333
1632x494	0.463543841677396	0.0223142886199065	0.0599309523382819	0.204238861805211	0.181252244261653	0.00184082127772167	0.0668789900198297
1665x494	0.497485254739861	0.021010054719711	0.0501395451455537	0.205986529287561	0.162120727709486	0.00180889814874368	0.061448990249083
1698x494	0.472108094914366	0.020159511735451	0.0560989101749367	0.190231832375825	0.183177838578418	0.00197685803259374	0.0762469541884104
1731x494	0.465274886973651	0.0215069409874087	0.057207084703945	0.183217608762516	0.194442992601494	0.00208844997817626	0.0762620359928091
1764x494	0.448121283004016	0.0251948710049358	0.053661924830325	0.184777214862173	0.213522997498548	0.00144914245024141	0.0732725663497613
1797x494	0.424401405530072	0.0275762698485324	0.0529410603992587	0.183974946333127	0.239156556107103	0.00173729875317572	0.0702124630287314
1830x494	0.440688012316582	0.0270693797454381	0.0631641897250213	0.142159630371449	0.23928891176882	0.0016256716321488	0.0860042044405412
1863x494	0.488274934281291	0.021916356877954	0.075150645181777	0.126149202642672	0.198992487290003	0.0013451765287139	0.0881711971975886
1896x494	0.488294405950866	0.017505698095613	0.0796793956364464	0.175378669171615	0.173544907047626	0.00162603202232359	0.0639708920755098
1929x494	0.473704357099973	0.0183335766304408	0.0676359220062778	0.198419486222207	0.193594744273947	0.00157539941004369	0.0467365143571113
1203x527	0.10742927236266	0.00955105384208759	0.0274779220199905	0.420776172591864	0.406417385058257	0.00172132325797358	0.0266268708671676
1236x527	0.112702766497589	0.00885160573305488	0.0299486131634798	0.408136002216781	0.411218404138416	0.00176916777359485	0.0273734404770837
1269x527	0.118177783919338	0.00578459804779328	0.0344820406213955	0.376027668077995	0.426117831831939	0.00200302696519251	0.0374070505363469
1302x527	0.137935984459978	0.00679676035470218	0.0401193381415673	0.370919998368724	0.393183730570559	0.00288046726302871	0.0481637208414414
1335x527	0.142399569913238	0.0083085611658406	0.038291047681629	0.376756523041811	0.393897897099031	0.00296074149876991	0.03738565959968
1368x527	0.162750891250602	0.0101011535800631	0.0378354230448102	0.373796399696004	0.374687361191668	0.0028313763854175	0.0379973948514362
1401x527	0.194077313667442	0.0116990941034995	0.0399883444368304	0.361599494674602	0.349071102768267	0.00288138546664123	0.0406832648827181
1434x527	0.230743956832357	0.0132447235031299	0.0424346249442257	0.344067203570067	0.322079048083068	0.00284455498837202	0.0445858880787795
1467x527	0.269700228091186	0.0145543121704792	0.0439239809246912	0.324930011560524	0.295418168761138	0.00265742869642214	0.0488158697955601
1500x527	0.314895634837871	0.0155171602684533	0.0445692038194931	0.306596916329415	0.261916254971692	0.00225353461420461	0.0542512951588706
1533x527	0.364177599396669	0.0151015387260746	0.0446730378248542	0.300730260184609	0.209663247968486	0.00163043182169849	0.0640238840776084
1566x527	0.432808352770802	0.0190827856831491	0.0530501687089801	0.252520508763152	0.163118910696273	0.00143722922349801	0.0779820441541453
1599x527	0.459709431159032	0.0214633572221423	0.0648799290501094	0.195406774273849	0.171640386470887	0.00199808659685401	0.0849020352271263
1632x527	0.499652146398792	0.021500481799374	0.0564776130095345	0.179823339562186	0.180976870209	0.00203427828201927	0.0595352707390947
1665x527	0.50995934804677	0.0221092321277928	0.0516597315343239	0.18519228735331	0.172829427523094	0.00157502142328867	0.056674951991421
1698x527	0.473514136256849	0.0230668154603236	0.0560315612783058	0.194396390322695	0.180322501939685	0.00134109035407041	0.0713275043880714
1731x527	0.451385764456946	0.0233706051476927	0.0555300377441799	0.196367478865757	0.195307447665632	0.00132636034775908	0.0767123057720337
1764x527	0.414722857683271	0.0249177617860161	0.04921584778028	0.213661421595255	0.23527556988692	0.00106914076263696	0.0611374005056207
1797x527	0.408302359578543	0.0276567774172172	0.050098326398061	0.206773439569059	0.233995830489181	0.000981107609523045	0.0721921589384157
1830x527	0.39247720236433	0.0278747210963669	0.0649788801830471	0.182334344406639	0.242588325569475	0.00109392824698618	0.0886525981331563
1863x527	0.415130850061443	0.0234276931745764	0.0769723279007419	0.184799400326382	0.220083670441819	0.00155370681097685	0.0780323512840614
1896x527	0.445477178956171	0.019166528418884	0.0804674776056325	0.209373085344214	0.191524847410353	0.00183478029693343	0.0521561019678118
1929x527	0.471333130981486	0.0182711368920811	0.0721766913714518	0.198384107719961	0.199246812190399	0.00159042019783052	0.0389977006467907
1170x560	0.149183850639907	0.0096512780460742	0.0355079675455323	0.394114898461674	0.381641010531514	0.00109264014077816	0.0288083546345203
1203x560	0.127892035601846	0.00840061082357556	0.0275037065712163	0.422947667393166	0.393835419631609	0.00154635062538326	0.0178742093532033
1236x560	0.148154456727245	0.00807461205681228	0.0321673489461458	0.4080657892507	0.377830320326371	0.00206224865482226	0.0236452240379044
1269x560	0.178511867253083	0.00735652769006811	0.0441076763218319	0.361631564980737	0.354745418400149	0.00225137905098477	0.0513955663031464
1302x560	0.161707905260408	0.00778669170501211	0.0427623289605497	0.370848780630546	0.360838207376044	0.0029454856958469	0.0531106003715938
1335x560	0.160936327069345	0.00925380903395054	0.0408574213222672	0.375570639480756	0.369627317140315	0.0032157677668578	0.0405387181865076
1368x560	0.1743502470597	0.0104760219294516	0.0406711452730701	0.371918153240011	0.361258631821491	0.00330291211852506	0.0380228885577522
1401x560	0.197908344639129	0.0118183060181239	0.0409793356533793	0.361483168185276	0.345248394342933	0.00321193178918403	0.0393505193719747
1434x560	0.233766105763316	0.0133518314514244	0.0421492488981058	0.342938611851989	0.322383512600627	0.00309766817043291	0.0423130212641053
1467x560	0.278549272714926	0.0150362220190805	0.043016622009564	0.317330974510441	0.29677589447537	0.00279329805203887	0.0464977162185789
1500x560	0.336479191154451	0.0168677015527431	0.0434401612720014	0.281242885310842	0.265151536968457	0.00217114391704061	0.0546473798244649
1533x560	0.396414744513813	0.0191693680824985	0.0502810768426706	0.242349000296709	0.224940333024145	0.0015689621162037	0.06527651512396
1566x560	0.436949443364463	0.0212701929611602	0.0625314256707332	0.207157175617372	0.184868679364192	0.00161026371135939	0.0856128193107198
1599x560	0.460767471784199	0.0212917228831846	0.0657213870750021	0.189643908947978	0.183327073556283	0.00209567777667735	0.0771527579766756
1632x560	0.458676046314468	0.0184763318867096	0.0557644482135786	0.19458685526093	0.223499409087107	0.00300881524316713	0.0459880939940398
